Date&Time;app1_conc [mg/l];app1_h [m];app1_t_water [C];Anomalietyp
19.10.2023 15:46;201,7;0,881;17,6;
19.10.2023 15:46;217,4;0,889;17,6;
19.10.2023 15:47;193,3;0,896;17,6;
19.10.2023 15:47;175,7;0,904;17,6;
19.10.2023 15:48;187,1;0,911;17,6;
19.10.2023 15:48;163,7;0,918;17,6;
19.10.2023 15:49;146,4;0,924;17,6;
19.10.2023 15:49;156,1;0,932;17,6;
19.10.2023 15:50;161,8;0,937;17,6;
19.10.2023 15:50;140,2;0,945;17,6;
19.10.2023 15:51;124,8;0,951;17,6;
19.10.2023 15:51;123,9;0,958;17,6;
19.10.2023 15:52;142,3;0,964;17,6;
19.10.2023 15:52;152,7;0,972;17,6;
19.10.2023 15:53;153,9;0,977;17,6;
19.10.2023 15:53;161,1;0,983;17,6;
19.10.2023 15:54;152,7;0,99;17,6;
19.10.2023 15:54;144;0,995;17,6;
19.10.2023 15:55;145,9;1,002;17,6;
19.10.2023 15:55;130,8;1,006;17,6;
19.10.2023 15:56;533,6;1,012;17,6;F
19.10.2023 15:56;806,1;1,019;17,6;F
19.10.2023 15:57;117,2;1,022;17,6;
19.10.2023 15:57;118,3;1,029;17,6;
19.10.2023 15:58;115,3;1,033;17,6;
19.10.2023 15:58;90,4;1,039;17,6;
19.10.2023 15:59;87;1,043;17,6;
19.10.2023 15:59;87,8;1,047;17,6;
19.10.2023 16:00;84,1;1,052;17,6;
19.10.2023 16:00;82,4;1,056;17,6;
19.10.2023 16:01;109,1;1,06;17,6;
19.10.2023 16:01;102,4;1,063;17,6;
19.10.2023 16:02;68,9;1,069;17,6;
19.10.2023 16:02;57,9;1,071;17,6;
19.10.2023 16:03;55,7;1,078;17,6;
19.10.2023 16:03;56,1;1,08;17,6;
19.10.2023 16:04;51,8;1,086;17,6;
19.10.2023 16:04;43,4;1,09;17,6;
19.10.2023 16:05;36,4;1,093;17,6;
19.10.2023 16:05;27,3;1,097;17,6;
19.10.2023 16:06;29,4;1,1;17,6;
19.10.2023 16:06;42,7;1,103;17,6;
19.10.2023 16:07;44,6;1,106;17,6;
19.10.2023 16:07;43,3;1,109;17,6;
19.10.2023 16:08;49,2;1,112;17,6;
19.10.2023 16:08;48,7;1,114;17,6;
19.10.2023 16:09;43,6;1,117;17,6;
19.10.2023 16:09;39,8;1,119;17,6;
19.10.2023 16:10;39,8;1,122;17,6;
19.10.2023 16:10;40,2;1,125;17,6;
19.10.2023 16:11;39,4;1,127;17,6;
19.10.2023 16:11;40,6;1,131;17,6;
19.10.2023 16:12;41,1;1,133;17,6;
19.10.2023 16:12;46,7;1,137;17,6;
19.10.2023 16:13;51,2;1,14;17,6;
19.10.2023 16:13;49;1,143;17,6;
19.10.2023 16:14;47,1;1,145;17,6;
19.10.2023 16:14;46;1,147;17,6;
